FIPS_Code,Employed_2020,Median_Household_Income_2020,Unemployment_rate_2020,"Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23",BIRTHS_2020,DEATHS_2020,DOMESTIC_MIG_2020,GQ_ESTIMATES_BASE_2020,INTERNATIONAL_MIG_2020,NATURAL_CHG_2020,NET_MIG_2020,Anxiety_Score_2020,Depression_Score_2020,State_Name,Region
47093,228861,70013,5.9,27.54665035,24.62434995,7.667482411,40.16151728,1302,1226,1474,13996,9,76,1483,2.537582071,2.603688794,Tennessee,South
47103,14623,61591,8.4,24.41593952,43.28280188,13.02424705,19.27701154,83,127,47,285,1,-44,48,2.609453401,2.487844567,Tennessee,South
47105,22225,79683,6.2,29.58599401,30.77593723,11.0841443,28.55392446,114,164,317,483,3,-50,320,2.545742976,2.612920704,Tennessee,South
47107,21495,60950,7.8,29.70677399,38.96874347,13.8223918,17.50209074,136,205,143,1040,1,-69,144,2.47173382,2.59399958,Tennessee,South
47113,45677,57070,7.5,29.62257072,34.7400015,9.687101373,25.95032641,265,310,9,4379,0,-45,9,2.573904723,2.603402675,Tennessee,South
47117,14064,64013,9.1,32.42547538,37.10039027,9.482687038,20.99144731,102,80,130,311,0,22,130,2.481946096,2.580698464,Tennessee,South
47119,46948,70225,8.1,32.0873979,33.97135078,7.470139963,26.47111135,353,225,798,1289,0,128,798,2.522185396,2.592120875,Tennessee,South
47123,18535,56047,8,29.65962441,40.86267606,13.67664319,15.80105634,122,155,192,442,0,-33,192,2.808843666,2.767483846,Tennessee,South
47125,80370,67478,7.6,35.35751121,27.26851754,5.653665621,31.72030563,918,396,765,4730,5,522,770,2.61380585,2.659429147,Tennessee,South
47141,32815,54996,6.5,26.41581584,33.14404803,11.24622385,29.19391228,200,238,256,3077,0,-38,256,2.539315448,2.581484575,Tennessee,South
47143,11853,59207,9.6,25.33971787,41.37008757,15.90526724,17.38492731,91,104,74,463,0,-13,74,2.454362739,2.568794141,Tennessee,South
47145,21506,63430,6.3,29.83404949,37.44752309,10.67812515,22.04030227,111,210,234,404,0,-99,234,2.633037058,2.748874143,Tennessee,South
47147,34926,77326,6.1,28.15232556,39.61604213,11.14538917,21.08624315,213,208,130,798,0,5,130,2.51883508,2.64044282,Tennessee,South
47149,173735,77320,7,29.87720775,28.10473614,7.629509548,34.38854656,989,644,1460,5739,15,345,1475,2.584190775,2.623727641,Tennessee,South
47155,48806,59530,9.7,31.0667982,35.29171364,12.20264938,21.43883878,242,280,207,667,2,-38,209,2.514678261,2.590657741,Tennessee,South
47157,404536,61452,9.6,28.19174267,27.44214021,10.16832687,34.19779025,3017,2397,-1112,13984,40,620,-1072,2.593675005,2.627278394,Tennessee,South
47163,64328,54361,7.1,30.3844578,32.6328189,10.36516662,26.61755668,369,594,298,2269,0,-225,298,2.55351236,2.643709078,Tennessee,South
47165,96677,87453,6.5,30.18635154,28.98657374,8.201487638,32.62558708,546,469,1115,1643,2,77,1117,2.509440114,2.598875986,Tennessee,South
47167,25776,68778,6.7,34.41189855,36.36624913,10.74653318,18.47531914,157,159,48,843,0,-2,48,2.528775865,2.588114061,Tennessee,South
47179,56488,64270,6.3,28.245805,29.36878294,8.860964123,33.52444794,296,414,324,5336,2,-118,326,2.544591568,2.600218379,Tennessee,South
47183,14577,49815,5.7,20.94972067,45.39816305,12.03957959,21.61253669,72,93,11,2092,0,-21,11,2.466769927,2.526520529,Tennessee,South
47187,123273,133486,4.7,20.88354612,13.2120272,4.068726882,61.8356998,563,378,1696,1361,6,185,1702,2.521452208,2.584458104,Tennessee,South
47189,72940,88462,6.3,27.54325325,28.78040949,6.454933515,37.22140375,390,360,943,1855,1,30,944,2.512710633,2.641436594,Tennessee,South
48001,21676,60800,5.7,33.40199765,38.04642027,14.01470694,14.53687513,135,171,23,13908,1,-36,24,2.612724839,2.663770358,Texas,South
48003,8420,68998,8.2,24.69591855,32.22812866,23.12820975,19.94774304,66,28,-37,68,0,38,-37,2.838666298,2.90973615,Texas,South
48005,32661,56825,7.6,32.79665337,34.06921765,15.12136818,18.0127608,265,294,-5,2523,0,-29,-5,2.686592687,2.713633277,Texas,South
48007,8383,60523,8.4,31.79238898,32.02665417,8.553282316,27.62767453,38,98,184,433,0,-60,184,2.618589547,2.703899832,Texas,South
